Round, Value, Time
0, 1000000000, 6974843
1, 1000000000, 6852089
2, 1000000000, 6851812
3, 1000000000, 6851717
4, 1000000000, 6852017
5, 1000000000, 6852342
6, 1000000000, 6853082
7, 1000000000, 6852427
8, 1000000000, 6851998
9, 1000000000, 6852024
10, 1000000000, 6851867
11, 1000000000, 6851838
12, 1000000000, 6851477
13, 1000000000, 6852680
14, 1000000000, 6852972
15, 1000000000, 6851806
16, 1000000000, 6852389
17, 1000000000, 6851307
18, 1000000000, 6852623
19, 1000000000, 6851193
20, 1000000000, 6849689
21, 1000000000, 6854835
22, 1000000000, 6855329
23, 1000000000, 6853373
24, 1000000000, 6852623
25, 1000000000, 6854997
26, 1000000000, 6852137
27, 1000000000, 6852311
28, 1000000000, 6853256
29, 1000000000, 6853245
30, 1000000000, 6852370
31, 1000000000, 6852164
32, 1000000000, 6853642
33, 1000000000, 6852302
34, 1000000000, 6852208
35, 1000000000, 6851986
36, 1000000000, 6851973
37, 1000000000, 6852062
38, 1000000000, 6852155
39, 1000000000, 6852365
40, 1000000000, 6855089
41, 1000000000, 6855923
42, 1000000000, 6852130
43, 1000000000, 6851852
44, 1000000000, 6851681
45, 1000000000, 6851625
46, 1000000000, 6851350
47, 1000000000, 6851432
48, 1000000000, 6851546
49, 1000000000, 6851812
50, 1000000000, 6853398
51, 1000000000, 6853092
52, 1000000000, 6851895
53, 1000000000, 6852066
54, 1000000000, 6851390
55, 1000000000, 6851800
56, 1000000000, 6851773
57, 1000000000, 6851999
58, 1000000000, 6853599
59, 1000000000, 6853176
60, 1000000000, 6853770
61, 1000000000, 6851722
62, 1000000000, 6851836
63, 1000000000, 6851590
64, 1000000000, 6852666
65, 1000000000, 6852102
66, 1000000000, 6852277
67, 1000000000, 6854007
68, 1000000000, 6852374
69, 1000000000, 6853283
70, 1000000000, 6853135
71, 1000000000, 6852315
72, 1000000000, 6852414
73, 1000000000, 6852343
74, 1000000000, 6852184
75, 1000000000, 6852099
76, 1000000000, 6852702
77, 1000000000, 6852847
78, 1000000000, 6859320
79, 1000000000, 6852078
80, 1000000000, 6851656
81, 1000000000, 6853024
82, 1000000000, 6854095
83, 1000000000, 6853290
84, 1000000000, 6855583
85, 1000000000, 6853950
86, 1000000000, 6852392
87, 1000000000, 6854977
88, 1000000000, 6852824
89, 1000000000, 6856117
90, 1000000000, 6853333
91, 1000000000, 6852376
92, 1000000000, 6853039
93, 1000000000, 6852435
94, 1000000000, 6853109
95, 1000000000, 6852109
96, 1000000000, 6854354
97, 1000000000, 6853082
98, 1000000000, 6855447
99, 1000000000, 6853291
